ngay,kenh,chi_phi_qc
2026-01-01,Shopee,676000.0
2026-01-02,Shopee,621000.0
2026-01-03,Shopee,551000.0
2026-01-04,Shopee,512000.0
2026-01-05,Shopee,541000.0
2026-01-06,Shopee,602000.0
2026-01-07,Shopee,581000.0
2026-01-08,Shopee,574000.0
2026-01-09,Shopee,675000.0
2026-01-10,Shopee,513000.0
2026-01-11,Shopee,674000.0
2026-01-12,Shopee,569000.0
2026-01-13,Shopee,561000.0
2026-01-14,Shopee,528000.0
2026-01-15,Shopee,538000.0
2026-01-16,Shopee,565000.0
2026-01-17,Shopee,653000.0
2026-01-18,Shopee,635000.0
2026-01-19,Shopee,553000.0
2026-01-20,Shopee,585000.0
2026-01-21,Shopee,535000.0
2026-01-22,Shopee,558000.0
2026-01-23,Shopee,567000.0
2026-01-24,Shopee,626000.0
2026-01-25,Shopee,600000.0
2026-01-26,Shopee,526000.0
2026-01-27,Shopee,665000.0
2026-01-28,Shopee,552000.0
2026-01-29,Shopee,653000.0
2026-01-30,Shopee,512000.0
2026-01-31,Shopee,566000.0
2026-02-01,Shopee,551000.0
2026-02-02,Shopee,643000.0
2026-02-03,Shopee,585000.0
2026-02-04,Shopee,657000.0
2026-02-05,Shopee,518000.0
2026-02-06,Shopee,600000.0
2026-02-07,Shopee,548000.0
2026-02-08,Shopee,541000.0
2026-02-09,Shopee,609000.0
2026-02-10,Shopee,527000.0
2026-02-11,Shopee,586000.0
2026-02-12,Shopee,649000.0
2026-02-13,Shopee,567000.0
2026-02-14,Shopee,593000.0
2026-02-15,Shopee,587000.0
2026-02-16,Shopee,530000.0
2026-02-17,Shopee,665000.0
2026-02-18,Shopee,631000.0
2026-02-19,Shopee,515000.0
2026-02-20,Shopee,546000.0
2026-02-21,Shopee,555000.0
2026-02-22,Shopee,626000.0
2026-02-23,Shopee,509000.0
2026-02-24,Shopee,622000.0
2026-02-25,Shopee,579000.0
2026-02-26,Shopee,591000.0
2026-02-27,Shopee,513000.0
2026-02-28,Shopee,563000.0
2026-03-01,Shopee,550000.0
2026-03-02,Shopee,583000.0
2026-03-03,Shopee,670000.0
2026-03-04,Shopee,650000.0
2026-03-05,Shopee,636000.0
2026-03-06,Shopee,625000.0
2026-03-07,Shopee,566000.0
2026-03-08,Shopee,554000.0
2026-03-09,Shopee,609000.0
2026-03-10,Shopee,550000.0
2026-03-11,Shopee,648000.0
2026-03-12,Shopee,532000.0
2026-03-13,Shopee,581000.0
2026-03-14,Shopee,567000.0
2026-03-15,Shopee,677000.0
2026-03-16,Shopee,658000.0
2026-03-17,Shopee,542000.0
2026-03-18,Shopee,508000.0
2026-03-19,Shopee,573000.0
2026-03-20,Shopee,618000.0
2026-03-21,Shopee,621000.0
2026-03-22,Shopee,602000.0
2026-03-23,Shopee,551000.0
2026-03-24,Shopee,651000.0
2026-03-25,Shopee,556000.0
2026-03-26,Shopee,637000.0
2026-03-27,Shopee,566000.0
2026-03-28,Shopee,591000.0
2026-03-29,Shopee,632000.0
2026-03-30,Shopee,669000.0
2026-03-31,Shopee,553000.0
2026-04-01,Shopee,629000.0
2026-04-02,Shopee,538000.0
2026-04-03,Shopee,563000.0
2026-04-04,Shopee,534000.0
2026-04-05,Shopee,624000.0
2026-04-06,Shopee,612000.0
2026-04-07,Shopee,658000.0
2026-04-08,Shopee,518000.0
2026-04-09,Shopee,532000.0
2026-04-10,Shopee,578000.0
2026-04-11,Shopee,661000.0
2026-04-12,Shopee,523000.0
2026-04-13,Shopee,561000.0
2026-04-14,Shopee,631000.0
2026-04-15,Shopee,612000.0
2026-04-16,Shopee,680000.0
2026-04-17,Shopee,680000.0
2026-04-18,Shopee,530000.0
2026-04-19,Shopee,584000.0
2026-04-20,Shopee,508000.0
2026-04-21,Shopee,674000.0
2026-04-22,Shopee,660000.0
2026-04-23,Shopee,671000.0
2026-04-24,Shopee,623000.0
2026-04-25,Shopee,594000.0
2026-04-26,Shopee,546000.0
2026-04-27,Shopee,628000.0
2026-04-28,Shopee,525000.0
2026-04-29,Shopee,518000.0
2026-04-30,Shopee,626000.0
2026-05-01,Shopee,554000.0
2026-05-02,Shopee,593000.0
2026-05-03,Shopee,617000.0
2026-05-04,Shopee,595000.0
2026-05-05,Shopee,645000.0
2026-05-06,Shopee,554000.0
2026-05-07,Shopee,617000.0
2026-05-08,Shopee,625000.0
2026-05-09,Shopee,566000.0
2026-05-10,Shopee,566000.0
2026-05-11,Shopee,532000.0
2026-05-12,Shopee,549000.0
2026-05-13,Shopee,613000.0
2026-05-14,Shopee,670000.0
2026-05-15,Shopee,601000.0
2026-05-16,Shopee,654000.0
2026-05-17,Shopee,540000.0
2026-05-18,Shopee,588000.0
2026-05-19,Shopee,642000.0
2026-05-20,Shopee,601000.0
2026-05-21,Shopee,578000.0
2026-05-22,Shopee,598000.0
2026-05-23,Shopee,645000.0
2026-05-24,Shopee,682000.0
2026-05-25,Shopee,614000.0
2026-05-26,Shopee,579000.0
2026-05-27,Shopee,571000.0
2026-05-28,Shopee,599000.0
2026-05-29,Shopee,556000.0
2026-05-30,Shopee,556000.0
2026-05-31,Shopee,568000.0
2026-06-01,Shopee,645000.0
2026-06-02,Shopee,669000.0
2026-06-03,Shopee,683000.0
2026-06-04,Shopee,590000.0
2026-06-05,Shopee,577000.0
2026-06-06,Shopee,617000.0
2026-06-07,Shopee,605000.0
2026-06-08,Shopee,601000.0
2026-06-09,Shopee,666000.0
2026-06-10,Shopee,604000.0
2026-06-11,Shopee,585000.0
2026-06-12,Shopee,587000.0
2026-06-13,Shopee,515000.0
2026-06-14,Shopee,587000.0
2026-06-15,Shopee,543000.0
2026-06-16,Shopee,515000.0
2026-06-17,Shopee,522000.0
2026-06-18,Shopee,631000.0
2026-06-19,Shopee,637000.0
2026-06-20,Shopee,680000.0
2026-06-21,Shopee,591000.0
2026-06-22,Shopee,531000.0
2026-06-23,Shopee,511000.0
2026-06-24,Shopee,520000.0
2026-06-25,Shopee,514000.0
2026-06-26,Shopee,524000.0
2026-06-27,Shopee,660000.0
2026-06-28,Shopee,566000.0
2026-06-29,Shopee,646000.0
2026-06-30,Shopee,593000.0
2026-01-01,TikTok Shop,361000.0
2026-01-02,TikTok Shop,378000.0
2026-01-03,TikTok Shop,383000.0
2026-01-04,TikTok Shop,397000.0
2026-01-05,TikTok Shop,424000.0
2026-01-06,TikTok Shop,397000.0
2026-01-07,TikTok Shop,393000.0
2026-01-08,TikTok Shop,344000.0
2026-01-09,TikTok Shop,460000.0
2026-01-10,TikTok Shop,460000.0
2026-01-11,TikTok Shop,355000.0
2026-01-12,TikTok Shop,398000.0
2026-01-13,TikTok Shop,452000.0
2026-01-14,TikTok Shop,364000.0
2026-01-15,TikTok Shop,431000.0
2026-01-16,TikTok Shop,422000.0
2026-01-17,TikTok Shop,348000.0
2026-01-18,TikTok Shop,369000.0
2026-01-19,TikTok Shop,454000.0
2026-01-20,TikTok Shop,451000.0
2026-01-21,TikTok Shop,385000.0
2026-01-22,TikTok Shop,380000.0
2026-01-23,TikTok Shop,450000.0
2026-01-24,TikTok Shop,355000.0
2026-01-25,TikTok Shop,374000.0
2026-01-26,TikTok Shop,457000.0
2026-01-27,TikTok Shop,394000.0
2026-01-28,TikTok Shop,369000.0
2026-01-29,TikTok Shop,393000.0
2026-01-30,TikTok Shop,347000.0
2026-01-31,TikTok Shop,350000.0
2026-02-01,TikTok Shop,367000.0
2026-02-02,TikTok Shop,345000.0
2026-02-03,TikTok Shop,437000.0
2026-02-04,TikTok Shop,447000.0
2026-02-05,TikTok Shop,415000.0
2026-02-06,TikTok Shop,374000.0
2026-02-07,TikTok Shop,446000.0
2026-02-08,TikTok Shop,379000.0
2026-02-09,TikTok Shop,450000.0
2026-02-10,TikTok Shop,367000.0
2026-02-11,TikTok Shop,426000.0
2026-02-12,TikTok Shop,417000.0
2026-02-13,TikTok Shop,393000.0
2026-02-14,TikTok Shop,445000.0
2026-02-15,TikTok Shop,448000.0
2026-02-16,TikTok Shop,451000.0
2026-02-17,TikTok Shop,354000.0
2026-02-18,TikTok Shop,362000.0
2026-02-19,TikTok Shop,422000.0
2026-02-20,TikTok Shop,448000.0
2026-02-21,TikTok Shop,367000.0
2026-02-22,TikTok Shop,352000.0
2026-02-23,TikTok Shop,384000.0
2026-02-24,TikTok Shop,355000.0
2026-02-25,TikTok Shop,349000.0
2026-02-26,TikTok Shop,393000.0
2026-02-27,TikTok Shop,348000.0
2026-02-28,TikTok Shop,366000.0
2026-03-01,TikTok Shop,368000.0
2026-03-02,TikTok Shop,366000.0
2026-03-03,TikTok Shop,361000.0
2026-03-04,TikTok Shop,364000.0
2026-03-05,TikTok Shop,462000.0
2026-03-06,TikTok Shop,457000.0
2026-03-07,TikTok Shop,444000.0
2026-03-08,TikTok Shop,343000.0
2026-03-09,TikTok Shop,452000.0
2026-03-10,TikTok Shop,352000.0
2026-03-11,TikTok Shop,423000.0
2026-03-12,TikTok Shop,443000.0
2026-03-13,TikTok Shop,454000.0
2026-03-14,TikTok Shop,342000.0
2026-03-15,TikTok Shop,347000.0
2026-03-16,TikTok Shop,435000.0
2026-03-17,TikTok Shop,349000.0
2026-03-18,TikTok Shop,403000.0
2026-03-19,TikTok Shop,399000.0
2026-03-20,TikTok Shop,428000.0
2026-03-21,TikTok Shop,442000.0
2026-03-22,TikTok Shop,414000.0
2026-03-23,TikTok Shop,441000.0
2026-03-24,TikTok Shop,368000.0
2026-03-25,TikTok Shop,462000.0
2026-03-26,TikTok Shop,358000.0
2026-03-27,TikTok Shop,411000.0
2026-03-28,TikTok Shop,445000.0
2026-03-29,TikTok Shop,387000.0
2026-03-30,TikTok Shop,345000.0
2026-03-31,TikTok Shop,461000.0
2026-04-01,TikTok Shop,376000.0
2026-04-02,TikTok Shop,409000.0
2026-04-03,TikTok Shop,446000.0
2026-04-04,TikTok Shop,417000.0
2026-04-05,TikTok Shop,346000.0
2026-04-06,TikTok Shop,447000.0
2026-04-07,TikTok Shop,368000.0
2026-04-08,TikTok Shop,408000.0
2026-04-09,TikTok Shop,427000.0
2026-04-10,TikTok Shop,398000.0
2026-04-11,TikTok Shop,440000.0
2026-04-12,TikTok Shop,391000.0
2026-04-13,TikTok Shop,439000.0
2026-04-14,TikTok Shop,387000.0
2026-04-15,TikTok Shop,441000.0
2026-04-16,TikTok Shop,364000.0
2026-04-17,TikTok Shop,402000.0
2026-04-18,TikTok Shop,346000.0
2026-04-19,TikTok Shop,430000.0
2026-04-20,TikTok Shop,345000.0
2026-04-21,TikTok Shop,446000.0
2026-04-22,TikTok Shop,351000.0
2026-04-23,TikTok Shop,452000.0
2026-04-24,TikTok Shop,351000.0
2026-04-25,TikTok Shop,353000.0
2026-04-26,TikTok Shop,366000.0
2026-04-27,TikTok Shop,435000.0
2026-04-28,TikTok Shop,412000.0
2026-04-29,TikTok Shop,441000.0
2026-04-30,TikTok Shop,461000.0
2026-05-01,TikTok Shop,419000.0
2026-05-02,TikTok Shop,416000.0
2026-05-03,TikTok Shop,418000.0
2026-05-04,TikTok Shop,434000.0
2026-05-05,TikTok Shop,396000.0
2026-05-06,TikTok Shop,406000.0
2026-05-07,TikTok Shop,423000.0
2026-05-08,TikTok Shop,436000.0
2026-05-09,TikTok Shop,394000.0
2026-05-10,TikTok Shop,450000.0
2026-05-11,TikTok Shop,376000.0
2026-05-12,TikTok Shop,363000.0
2026-05-13,TikTok Shop,402000.0
2026-05-14,TikTok Shop,446000.0
2026-05-15,TikTok Shop,451000.0
2026-05-16,TikTok Shop,369000.0
2026-05-17,TikTok Shop,358000.0
2026-05-18,TikTok Shop,371000.0
2026-05-19,TikTok Shop,385000.0
2026-05-20,TikTok Shop,429000.0
2026-05-21,TikTok Shop,427000.0
2026-05-22,TikTok Shop,379000.0
2026-05-23,TikTok Shop,360000.0
2026-05-24,TikTok Shop,379000.0
2026-05-25,TikTok Shop,449000.0
2026-05-26,TikTok Shop,367000.0
2026-05-27,TikTok Shop,390000.0
2026-05-28,TikTok Shop,391000.0
2026-05-29,TikTok Shop,418000.0
2026-05-30,TikTok Shop,384000.0
2026-05-31,TikTok Shop,419000.0
2026-06-01,TikTok Shop,771000.0
2026-06-02,TikTok Shop,858000.0
2026-06-03,TikTok Shop,974000.0
2026-06-04,TikTok Shop,756000.0
2026-06-05,TikTok Shop,765000.0
2026-06-06,TikTok Shop,865000.0
2026-06-07,TikTok Shop,800000.0
2026-06-08,TikTok Shop,370000.0
2026-06-09,TikTok Shop,447000.0
2026-06-10,TikTok Shop,354000.0
2026-06-11,TikTok Shop,399000.0
2026-06-12,TikTok Shop,372000.0
2026-06-13,TikTok Shop,389000.0
2026-06-14,TikTok Shop,449000.0
2026-06-15,TikTok Shop,360000.0
2026-06-16,TikTok Shop,374000.0
2026-06-17,TikTok Shop,359000.0
2026-06-18,TikTok Shop,350000.0
2026-06-19,TikTok Shop,443000.0
2026-06-20,TikTok Shop,405000.0
2026-06-21,TikTok Shop,449000.0
2026-06-22,TikTok Shop,415000.0
2026-06-23,TikTok Shop,388000.0
2026-06-24,TikTok Shop,382000.0
2026-06-25,TikTok Shop,407000.0
2026-06-26,TikTok Shop,358000.0
2026-06-27,TikTok Shop,411000.0
2026-06-28,TikTok Shop,421000.0
2026-06-29,TikTok Shop,446000.0
2026-06-30,TikTok Shop,376000.0
