Mã đơn hàng,Ngày đặt hàng,Trạng Thái Đơn Hàng,SKU phân loại hàng,Tên sản phẩm,Số lượng,Giá gốc,Tổng giá bán (sản phẩm),Mã giảm giá của Shop,Phí cố định,Phí thanh toán,Phí Voucher Xtra & Freeship Xtra,Phí Dịch Vụ,Thuế khấu trừ,Phí vận chuyển trả hàng,Tỉnh/Thành phố,Đơn Vị Vận Chuyển
SP260000000,2026-01-01 07:00:49,Đã trả hàng,LAN-011,Áo mẫu 011,1,259000,259000,0.0,0.0,0.0,0.0,0.0,0.0,30000,Nghệ An,GHN
SP260000004,2026-01-01 08:04:29,Hoàn thành,LAN-087,Quần mẫu 087,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,0,Nghệ An,SPX Express
SP260000005,2026-01-01 08:07:40,Đã trả hàng,LAN-034,Áo mẫu 034,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,SPX Express
SP260000006,2026-01-01 08:15:43,Hoàn thành,LAN-087,Quần mẫu 087,3,249000,747000,0.0,119520.0,44820.0,67230.0,7470.0,11205.0,0,Hà Nội,J&T Express
SP260000009,2026-01-01 09:53:03,Hoàn thành,LAN-106,Quần mẫu 106,1,179000,179000,0.0,28640.0,10740.0,16110.0,1790.0,2685.0,0,Hà Nội,SPX Express
SP260000010,2026-01-01 10:28:33,Hoàn thành,LAN-133,Set đồ mẫu 133,1,129000,129000,11000.0,18880.0,7080.0,10620.0,1180.0,1770.0,0,Khánh Hoà,J&T Express
SP260000012,2026-01-01 11:14:38,Hoàn thành,LAN-081,Quần mẫu 081,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Hải Phòng,GHN
SP260000013,2026-01-01 11:30:23,Đã trả hàng,LAN-005,Áo mẫu 005,1,229000,229000,0.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,GHN
SP260000015,2026-01-01 11:42:36,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,17000.0,38720.0,14520.0,21780.0,2420.0,3630.0,0,Đồng Nai,J&T Express
SP260000016,2026-01-01 11:53:46,Đã huỷ,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,10000.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260000017,2026-01-01 11:57:23,Đã huỷ,LAN-127,Chân váy mẫu 127,2,279000,558000,140000.0,0.0,0.0,0.0,0.0,0.0,0,TP.HCM,SPX Express
SP260000019,2026-01-01 13:15:06,Hoàn thành,LAN-048,Váy/Đầm mẫu 048,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Nghệ An,J&T Express
SP260000020,2026-01-01 13:32:39,Hoàn thành,LAN-131,Set đồ mẫu 131,1,259000,259000,15000.0,39040.0,14640.0,21960.0,2440.0,3660.0,0,TP.HCM,J&T Express
SP260000023,2026-01-01 14:06:33,Hoàn thành,LAN-112,Chân váy mẫu 112,2,169000,338000,29000.0,49440.0,18540.0,27810.0,3090.0,4635.0,0,Thanh Hoá,J&T Express
SP260000025,2026-01-01 14:27:30,Hoàn thành,LAN-027,Áo mẫu 027,2,199000,398000,0.0,63680.0,23880.0,35820.0,3980.0,5970.0,0,Đồng Nai,SPX Express
SP260000026,2026-01-01 14:45:03,Hoàn thành,LAN-079,Váy/Đầm mẫu 079,1,119000,119000,0.0,19040.0,7140.0,10710.0,1190.0,1785.0,0,Nghệ An,J&T Express
SP260000027,2026-01-01 14:47:28,Hoàn thành,LAN-044,Áo mẫu 044,1,249000,249000,20000.0,36640.0,13740.0,20610.0,2290.0,3435.0,0,Hà Nội,SPX Express
SP260000028,2026-01-01 15:54:12,Đã trả hàng,LAN-086,Quần mẫu 086,2,249000,498000,29000.0,0.0,0.0,0.0,0.0,0.0,30000,Hà Nội,SPX Express
SP260000030,2026-01-01 16:03:44,Đã trả hàng,LAN-133,Set đồ mẫu 133,1,129000,129000,12000.0,0.0,0.0,0.0,0.0,0.0,30000,Thanh Hoá,GHN
SP260000033,2026-01-01 16:39:05,Hoàn thành,LAN-028,Áo mẫu 028,2,169000,338000,0.0,54080.0,20280.0,30420.0,3380.0,5070.0,0,Hà Nội,GHN
SP260000034,2026-01-01 16:40:57,Hoàn thành,LAN-090,Quần mẫu 090,3,249000,747000,0.0,119520.0,44820.0,67230.0,7470.0,11205.0,0,Đà Nẵng,SPX Express
SP260000035,2026-01-01 16:42:52,Hoàn thành,LAN-081,Quần mẫu 081,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,TP.HCM,J&T Express
SP260000036,2026-01-01 16:44:46,Đã trả hàng,LAN-135,Set đồ mẫu 135,2,279000,558000,46000.0,0.0,0.0,0.0,0.0,0.0,30000,Hải Phòng,J&T Express
SP260000038,2026-01-01 16:47:21,Hoàn thành,LAN-054,Váy/Đầm mẫu 054,2,129000,258000,19000.0,38240.0,14340.0,21510.0,2390.0,3585.0,0,Hà Nội,SPX Express
SP260000039,2026-01-01 16:56:30,Đã huỷ,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,14000.0,0.0,0.0,0.0,0.0,0.0,0,Bình Dương,SPX Express
SP260000042,2026-01-01 17:47:44,Đã trả hàng,LAN-011,Áo mẫu 011,1,259000,259000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,SPX Express
SP260000044,2026-01-01 18:19:31,Hoàn thành,LAN-009,Áo mẫu 009,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,Hà Nội,SPX Express
SP260000046,2026-01-01 18:22:43,Hoàn thành,LAN-045,Áo mẫu 045,1,159000,159000,0.0,25440.0,9540.0,14310.0,1590.0,2385.0,0,Hà Nội,GHN
SP260000047,2026-01-01 19:37:04,Đã huỷ,LAN-113,Chân váy mẫu 113,1,289000,289000,18000.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260000049,2026-01-01 20:24:35,Đã huỷ,LAN-078,Váy/Đầm mẫu 078,2,299000,598000,0.0,0.0,0.0,0.0,0.0,0.0,0,Hà Nội,J&T Express
SP260000050,2026-01-01 20:41:48,Hoàn thành,LAN-032,Áo mẫu 032,1,199000,199000,0.0,31840.0,11940.0,17910.0,1990.0,2985.0,0,TP.HCM,GHN
SP260000052,2026-01-01 21:03:33,Hoàn thành,LAN-021,Áo mẫu 021,2,289000,578000,57000.0,83360.0,31260.0,46890.0,5210.0,7815.0,0,Thanh Hoá,SPX Express
SP260000054,2026-01-01 21:14:22,Hoàn thành,LAN-150,Phụ kiện mẫu 150,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,0,Đồng Nai,SPX Express
SP260000056,2026-01-01 21:29:48,Hoàn thành,LAN-122,Chân váy mẫu 122,2,239000,478000,0.0,76480.0,28680.0,43020.0,4780.0,7170.0,0,Bình Dương,J&T Express
SP260000057,2026-01-01 21:42:53,Hoàn thành,LAN-016,Áo mẫu 016,1,209000,209000,18000.0,30560.0,11460.0,17190.0,1910.0,2865.0,0,Đồng Nai,GHN
SP260000058,2026-01-01 21:46:09,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,12000.0,25120.0,9420.0,14130.0,1570.0,2355.0,0,Hải Phòng,J&T Express
SP260000059,2026-01-01 21:59:06,Hoàn thành,LAN-042,Áo mẫu 042,2,219000,438000,35000.0,64480.0,24180.0,36270.0,4030.0,6045.0,0,Thanh Hoá,SPX Express
SP260000062,2026-01-01 22:54:35,Đã trả hàng,LAN-075,Váy/Đầm mẫu 075,2,229000,458000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,J&T Express
SP260000063,2026-01-02 07:10:43,Đã trả hàng,LAN-096,Quần mẫu 096,1,289000,289000,0.0,0.0,0.0,0.0,0.0,0.0,30000,TP.HCM,J&T Express
SP260000064,2026-01-02 07:27:19,Hoàn thành,LAN-133,Set đồ mẫu 133,1,129000,129000,0.0,20640.0,7740.0,11610.0,1290.0,1935.0,0,Hà Nội,SPX Express
SP260000065,2026-01-02 08:11:27,Đã trả hàng,LAN-122,Chân váy mẫu 122,3,239000,717000,42000.0,0.0,0.0,0.0,0.0,0.0,30000,Nghệ An,SPX Express
SP260000068,2026-01-02 09:14:10,Hoàn thành,LAN-065,Váy/Đầm mẫu 065,1,169000,169000,0.0,27040.0,10140.0,15210.0,1690.0,2535.0,0,TP.HCM,SPX Express
SP260000069,2026-01-02 09:21:36,Hoàn thành,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,SPX Express
SP260000070,2026-01-02 09:25:39,Hoàn thành,LAN-050,Váy/Đầm mẫu 050,1,289000,289000,20000.0,43040.0,16140.0,24210.0,2690.0,4035.0,0,Bình Dương,GHN
SP260000071,2026-01-02 10:13:32,Hoàn thành,LAN-075,Váy/Đầm mẫu 075,1,229000,229000,0.0,36640.0,13740.0,20610.0,2290.0,3435.0,0,Đà Nẵng,SPX Express
SP260000073,2026-01-02 11:48:29,Hoàn thành,LAN-072,Váy/Đầm mẫu 072,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,0,Hà Nội,SPX Express
SP260000075,2026-01-02 12:19:41,Đã trả hàng,LAN-011,Áo mẫu 011,1,259000,259000,0.0,0.0,0.0,0.0,0.0,0.0,30000,Nghệ An,J&T Express
SP260000078,2026-01-02 13:03:41,Hoàn thành,LAN-011,Áo mẫu 011,1,259000,259000,25000.0,37440.0,14040.0,21060.0,2340.0,3510.0,0,TP.HCM,J&T Express
SP260000080,2026-01-02 13:51:40,Hoàn thành,LAN-050,Váy/Đầm mẫu 050,1,289000,289000,24000.0,42400.0,15900.0,23850.0,2650.0,3975.0,0,Hà Nội,SPX Express
