Order ID,Created Time,Order Status,Seller SKU,Product Name,Quantity,SKU Unit Original Price,SKU Subtotal Before Discount,SKU Seller Discount,Commission Fee,Transaction Fee,Campaign Service Fee,Platform Service Fee,Tax Withheld,Province,Shipping Provider Name
TT260000001,01/01/2026 07:05:38,Completed,LAN-103,Quần mẫu 103,1,259000,259000,16000.0,38880.0,14580.0,21870.0,2430.0,3645.0,Hà Nội,J&T Express
TT260000002,01/01/2026 07:21:16,Completed,LAN-057,Váy/Đầm mẫu 057,2,239000,478000,0.0,76480.0,28680.0,43020.0,4780.0,7170.0,Đồng Nai,J&T Express
TT260000003,01/01/2026 07:50:25,Completed,LAN-024,Áo mẫu 024,1,209000,209000,19000.0,30400.0,11400.0,17100.0,1900.0,2850.0,Bình Dương,J&T Express
TT260000007,01/01/2026 08:19:13,Returned,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,Đà Nẵng,Best Express
TT260000008,01/01/2026 09:28:53,Completed,LAN-100,Quần mẫu 100,1,299000,299000,0.0,47840.0,17940.0,26910.0,2990.0,4485.0,Hà Nội,J&T Express
TT260000011,01/01/2026 11:03:36,Completed,LAN-111,Chân váy mẫu 111,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,Bình Dương,Best Express
TT260000014,01/01/2026 11:42:32,Returned,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,0.0,0.0,0.0,0.0,0.0,TP.HCM,J&T Express
TT260000018,01/01/2026 12:51:36,Completed,LAN-024,Áo mẫu 024,1,209000,209000,11000.0,31680.0,11880.0,17820.0,1980.0,2970.0,Bình Dương,GHN
TT260000021,01/01/2026 13:56:06,Completed,LAN-044,Áo mẫu 044,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,TP.HCM,J&T Express
TT260000022,01/01/2026 14:00:08,Completed,LAN-066,Váy/Đầm mẫu 066,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,TP.HCM,J&T Express
TT260000024,01/01/2026 14:20:21,Completed,LAN-108,Quần mẫu 108,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,Đà Nẵng,J&T Express
TT260000029,01/01/2026 16:00:54,Completed,LAN-094,Quần mẫu 094,2,299000,598000,0.0,95680.0,35880.0,53820.0,5980.0,8970.0,TP.HCM,J&T Express
TT260000031,01/01/2026 16:20:15,Completed,LAN-063,Váy/Đầm mẫu 063,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,TP.HCM,J&T Express
TT260000032,01/01/2026 16:31:43,Completed,LAN-057,Váy/Đầm mẫu 057,2,239000,478000,43000.0,69600.0,26100.0,39150.0,4350.0,6525.0,Hà Nội,J&T Express
TT260000037,01/01/2026 16:45:31,Completed,LAN-029,Áo mẫu 029,1,159000,159000,12000.0,23520.0,8820.0,13230.0,1470.0,2205.0,TP.HCM,J&T Express
TT260000040,01/01/2026 17:07:18,Completed,LAN-013,Áo mẫu 013,1,189000,189000,13000.0,28160.0,10560.0,15840.0,1760.0,2640.0,TP.HCM,Best Express
TT260000041,01/01/2026 17:38:30,Cancelled,LAN-087,Quần mẫu 087,1,249000,249000,0.0,0.0,0.0,0.0,0.0,0.0,Đồng Nai,J&T Express
TT260000043,01/01/2026 18:15:57,Completed,LAN-077,Váy/Đầm mẫu 077,1,219000,219000,0.0,35040.0,13140.0,19710.0,2190.0,3285.0,Hà Nội,J&T Express
TT260000045,01/01/2026 18:20:07,Completed,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,Khánh Hoà,J&T Express
TT260000048,01/01/2026 20:21:51,Completed,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,Hà Nội,J&T Express
TT260000051,01/01/2026 20:54:38,Completed,LAN-035,Áo mẫu 035,1,259000,259000,0.0,41440.0,15540.0,23310.0,2590.0,3885.0,Đồng Nai,J&T Express
TT260000053,01/01/2026 21:12:32,Completed,LAN-122,Chân váy mẫu 122,1,239000,239000,16000.0,35680.0,13380.0,20070.0,2230.0,3345.0,TP.HCM,GHN
TT260000055,01/01/2026 21:16:22,Completed,LAN-136,Set đồ mẫu 136,2,209000,418000,0.0,66880.0,25080.0,37620.0,4180.0,6270.0,Cần Thơ,J&T Express
TT260000060,01/01/2026 22:30:41,Completed,LAN-122,Chân váy mẫu 122,2,239000,478000,0.0,76480.0,28680.0,43020.0,4780.0,7170.0,Cần Thơ,J&T Express
TT260000061,01/01/2026 22:51:55,Completed,LAN-036,Áo mẫu 036,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,Hải Phòng,J&T Express
TT260000066,02/01/2026 09:04:21,Completed,LAN-090,Quần mẫu 090,1,249000,249000,0.0,39840.0,14940.0,22410.0,2490.0,3735.0,Cần Thơ,GHN
TT260000067,02/01/2026 09:08:36,Completed,LAN-056,Váy/Đầm mẫu 056,1,99000,99000,0.0,15840.0,5940.0,8910.0,990.0,1485.0,TP.HCM,J&T Express
TT260000072,02/01/2026 10:54:20,Completed,LAN-105,Quần mẫu 105,1,209000,209000,0.0,33440.0,12540.0,18810.0,2090.0,3135.0,Cần Thơ,J&T Express
TT260000074,02/01/2026 11:59:43,Completed,LAN-044,Áo mẫu 044,1,249000,249000,16000.0,37280.0,13980.0,20970.0,2330.0,3495.0,Bình Dương,J&T Express
TT260000076,02/01/2026 12:59:25,Returned,LAN-081,Quần mẫu 081,1,199000,199000,14000.0,0.0,0.0,0.0,0.0,0.0,Đà Nẵng,J&T Express
TT260000077,02/01/2026 13:03:04,Returned,LAN-147,Phụ kiện mẫu 147,1,239000,239000,0.0,0.0,0.0,0.0,0.0,0.0,Cần Thơ,GHN
TT260000079,02/01/2026 13:22:54,Returned,LAN-122,Chân váy mẫu 122,1,239000,239000,0.0,0.0,0.0,0.0,0.0,0.0,TP.HCM,GHN
TT260000082,02/01/2026 14:22:10,Completed,LAN-127,Chân váy mẫu 127,1,279000,279000,70000.0,33440.0,12540.0,18810.0,2090.0,3135.0,Khánh Hoà,J&T Express
TT260000085,02/01/2026 14:28:14,Completed,LAN-122,Chân váy mẫu 122,1,239000,239000,0.0,38240.0,14340.0,21510.0,2390.0,3585.0,Hải Phòng,Best Express
TT260000087,02/01/2026 14:43:25,Completed,LAN-014,Áo mẫu 014,3,279000,837000,82000.0,120800.0,45300.0,67950.0,7550.0,11325.0,TP.HCM,GHN
TT260000088,02/01/2026 15:00:39,Completed,LAN-146,Phụ kiện mẫu 146,3,209000,627000,47000.0,92800.0,34800.0,52200.0,5800.0,8700.0,Hà Nội,GHN
TT260000089,02/01/2026 15:10:20,Completed,LAN-044,Áo mẫu 044,1,249000,249000,13000.0,37760.0,14160.0,21240.0,2360.0,3540.0,Nghệ An,J&T Express
TT260000090,02/01/2026 15:41:54,Completed,LAN-008,Áo mẫu 008,2,109000,218000,18000.0,32000.0,12000.0,18000.0,2000.0,3000.0,TP.HCM,J&T Express
