sku,ten_san_pham,danh_muc,gia_ban,gia_von
LAN-001,Áo mẫu 001,Áo,149000,73000.0
LAN-002,Áo mẫu 002,Áo,99000,51200.0
LAN-003,Áo mẫu 003,Áo,99000,43900.0
LAN-004,Áo mẫu 004,Áo,179000,85700.0
LAN-005,Áo mẫu 005,Áo,229000,104900.0
LAN-006,Áo mẫu 006,Áo,269000,131500.0
LAN-007,Áo mẫu 007,Áo,239000,120700.0
LAN-008,Áo mẫu 008,Áo,109000,54800.0
LAN-009,Áo mẫu 009,Áo,199000,89200.0
LAN-010,Áo mẫu 010,Áo,229000,113600.0
LAN-011,Áo mẫu 011,Áo,259000,123300.0
LAN-012,Áo mẫu 012,Áo,269000,134200.0
LAN-013,Áo mẫu 013,Áo,189000,96200.0
LAN-014,Áo mẫu 014,Áo,279000,121100.0
LAN-015,Áo mẫu 015,Áo,139000,58700.0
LAN-016,Áo mẫu 016,Áo,209000,96800.0
LAN-017,Áo mẫu 017,Áo,209000,100100.0
LAN-018,Áo mẫu 018,Áo,219000,97000.0
LAN-019,Áo mẫu 019,Áo,289000,132700.0
LAN-020,Áo mẫu 020,Áo,129000,62700.0
LAN-021,Áo mẫu 021,Áo,289000,122800.0
LAN-022,Áo mẫu 022,Áo,129000,57800.0
LAN-023,Áo mẫu 023,Áo,209000,97000.0
LAN-024,Áo mẫu 024,Áo,209000,106400.0
LAN-025,Áo mẫu 025,Áo,119000,52600.0
LAN-026,Áo mẫu 026,Áo,229000,108800.0
LAN-027,Áo mẫu 027,Áo,199000,89900.0
LAN-028,Áo mẫu 028,Áo,169000,84300.0
LAN-029,Áo mẫu 029,Áo,159000,82400.0
LAN-030,Áo mẫu 030,Áo,99000,47200.0
LAN-031,Áo mẫu 031,Áo,139000,58700.0
LAN-032,Áo mẫu 032,Áo,199000,97700.0
LAN-033,Áo mẫu 033,Áo,159000,81200.0
LAN-034,Áo mẫu 034,Áo,279000,145100.0
LAN-035,Áo mẫu 035,Áo,259000,125600.0
LAN-036,Áo mẫu 036,Áo,279000,145100.0
LAN-037,Áo mẫu 037,Áo,209000,97800.0
LAN-038,Áo mẫu 038,Áo,229000,115400.0
LAN-039,Áo mẫu 039,Áo,249000,129000.0
LAN-040,Áo mẫu 040,Áo,249000,126500.0
LAN-041,Áo mẫu 041,Áo,219000,104000.0
LAN-042,Áo mẫu 042,Áo,219000,105600.0
