ma_don,ngay_dat,kenh,tinh,don_vi_van_chuyen,sku,ten_san_pham,danh_muc,gia_ban,so_luong,doanh_thu,giam_gia_shop,trang_thai,phi_hoa_hong,phi_thanh_toan,phi_voucher_freeship,phi_dich_vu,thue_khau_tru,gia_von,chi_phi_hoan
SP260000000,2026-01-01 07:00:49,Shopee,Nghệ An,GHN,LAN-011,Áo mẫu 011,Áo,259000,1,259000,0.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,42330.0
TT260000001,2026-01-01 07:05:38,TikTok Shop,Hà Nội,J&T Express,LAN-103,Quần mẫu 103,Quần,259000,1,259000,16000.0,Hoàn thành,38880.0,14580.0,21870.0,2430.0,3645.0,120200.0,0.0
TT260000002,2026-01-01 07:21:16,TikTok Shop,Đồng Nai,J&T Express,LAN-057,Váy/Đầm mẫu 057,Váy/Đầm,239000,2,478000,0.0,Hoàn thành,76480.0,28680.0,43020.0,4780.0,7170.0,209400.0,0.0
TT260000003,2026-01-01 07:50:25,TikTok Shop,Bình Dương,J&T Express,LAN-024,Áo mẫu 024,Áo,209000,1,209000,19000.0,Hoàn thành,30400.0,11400.0,17100.0,1900.0,2850.0,106400.0,0.0
SP260000004,2026-01-01 08:04:29,Shopee,Nghệ An,SPX Express,LAN-087,Quần mẫu 087,Quần,249000,1,249000,0.0,Hoàn thành,39840.0,14940.0,22410.0,2490.0,3735.0,106800.0,0.0
SP260000005,2026-01-01 08:07:40,Shopee,TP.HCM,SPX Express,LAN-034,Áo mẫu 034,Áo,279000,1,279000,70000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,44510.0
SP260000006,2026-01-01 08:15:43,Shopee,Hà Nội,J&T Express,LAN-087,Quần mẫu 087,Quần,249000,3,747000,0.0,Hoàn thành,119520.0,44820.0,67230.0,7470.0,11205.0,320400.0,0.0
TT260000007,2026-01-01 08:19:13,TikTok Shop,Đà Nẵng,Best Express,LAN-036,Áo mẫu 036,Áo,279000,1,279000,70000.0,Đã trả hàng,0.0,0.0,0.0,0.0,0.0,0.0,44510.0
TT260000008,2026-01-01 09:28:53,TikTok Shop,Hà Nội,J&T Express,LAN-100,Quần mẫu 100,Quần,299000,1,299000,0.0,Hoàn thành,47840.0,17940.0,26910.0,2990.0,4485.0,150700.0,0.0
SP260000009,2026-01-01 09:53:03,Shopee,Hà Nội,SPX Express,LAN-106,Quần mẫu 106,Quần,179000,1,179000,0.0,Hoàn thành,28640.0,10740.0,16110.0,1790.0,2685.0,80400.0,0.0
